estimatedX,estimatedY
0.6190,4.9454
0.2877,2.8708
0.4829,0.7297
-0.2095,-1.0906
1.0189,-2.5325
1.8126,-2.3976
0.4602,-2.7935
1.3197,-3.5560
2.1951,-4.1888
2.3117,-4.5112
1.8769,-4.7837
1.2487,-4.8039
2.7289,-3.9079
1.7253,-3.7227
2.5334,-2.7565
1.8497,-2.9602
1.6917,-2.7416
0.4982,-1.0438
1.5046,-1.1211
0.9365,-0.5842
-0.6183,0.2076
-0.8933,1.0107
-0.5762,2.1518
-0.5159,2.5110
-0.1716,1.4249
-0.4961,1.4210
-0.2812,0.8454
0.1090,0.8959
-0.0919,1.1396
0.9632,0.7526
1.4635,-0.1455
1.5389,-0.4426
1.9114,-1.5212
1.6045,-1.2014
1.0398,-0.0416
1.8116,0.4400
1.0215,-0.2171
0.8303,-0.2498
0.9691,0.3355
0.9984,0.0035
1.2621,0.2719
0.6906,1.1863
-0.2878,1.7530
-0.7495,2.1195
-0.2441,3.4076
-0.1194,1.5576
0.5782,1.3745
-0.0949,1.6149
-0.3711,2.6427
0.1607,1.5941
0.6433,1.5475
0.7090,2.1150
1.4146,1.7816
1.5764,1.0878
1.4304,2.3683
0.4663,2.8619
0.7212,2.0161
0.6848,1.6280
1.4990,1.2451
1.3947,0.6149
1.3393,1.0028
1.7180,0.5240
3.4444,-0.0025
2.7045,1.2844
1.9611,1.7675
0.1733,3.5409
-0.0606,3.7637
0.1715,4.1519
0.6547,2.9986
0.9281,2.4855
0.4404,3.6792
1.7963,3.0870
0.4824,3.3726
1.0109,3.5265
0.6930,2.7165
0.7541,2.5622
1.4762,2.1262
1.3872,1.8690
2.2866,3.0260
2.3044,2.9036
2.4019,2.2568
1.4771,2.4668
2.3147,1.9383
1.3781,1.8167
1.8875,2.2082
1.3037,3.5193
2.6844,2.9786
1.7428,4.0602
1.1653,3.6188
1.1135,3.7542
1.9898,4.6089
1.8910,5.8115
2.0953,6.2293
0.9292,6.6116
1.3416,5.4183
1.5262,4.0377
1.6375,4.2585
2.6463,4.9129
1.7370,4.9404
2.2532,3.9318
1.8424,4.1046
2.8084,4.2262
2.9946,5.0101
1.6382,5.1437
1.6132,5.4502
1.1521,6.1897
2.1081,4.3070
3.1620,4.5904
2.4786,5.0061
3.0178,4.3491
2.7124,4.2132
2.7201,5.2100
3.3114,5.0345
4.3203,4.4971
4.1332,4.6381
3.7165,4.4069
2.3990,5.5548
3.3433,6.1140
3.9878,5.5321
4.2059,4.2938
3.9222,4.5735
3.9606,3.3166
3.2375,4.8588
2.9249,4.6850
2.3909,6.6429
2.3204,7.0682
2.4917,7.6321
2.3274,8.3247
3.1047,6.6812
3.6946,5.5772
3.9893,4.7790
2.2844,5.8003
2.3498,5.5447
2.8090,6.2551
3.1496,4.9990
2.7555,4.7715
2.9651,6.2369
3.2203,6.7080
3.7431,6.2038
3.7605,5.9969
3.5743,6.6021
3.6551,6.1542
4.0352,5.7070
3.8260,6.2506
3.8889,5.9710
3.6155,5.6538
4.5436,6.5513
4.1459,6.9314
3.9283,7.1028
3.2084,7.0260
2.7166,7.8681
3.1243,7.8943
2.8261,8.0119
3.4293,5.7147
4.5198,6.5753
4.5354,7.5399
4.2753,7.9878
3.4311,8.0277
2.9450,8.5515
3.3378,9.2127
3.8098,7.7225
4.2560,6.7956
5.1552,6.4936
4.3393,7.4177
4.0477,7.2632
4.0155,7.2588
5.0612,7.2978
5.5676,7.4375
4.2964,7.8205
4.2431,7.4945
4.3005,7.1793
4.5368,7.7086
4.3971,7.4317
4.9541,7.3567
4.6549,8.6351
3.9903,7.9063
4.8301,7.2147
5.1859,6.5640
5.2495,7.3221
4.5061,6.2626
4.6770,7.5587
4.4064,6.6433
4.2937,7.4153
4.1215,8.2898
3.7598,8.7544
3.3681,8.6614
4.3266,8.7096
4.6535,8.5070
4.7967,9.3957
5.1757,8.2097
5.0848,8.5588
5.7623,7.4604
4.9422,7.2786
5.4804,7.0010
6.0876,7.0939
4.8265,9.3080
4.9852,8.4926
5.0491,8.6776
5.4594,8.0517
5.6133,7.8394
5.5169,7.6281
5.9466,7.9823
6.1174,6.8288
5.6545,6.8914
6.7144,8.3187
6.2312,7.3532
6.1242,7.0414
6.0525,6.4462
6.2236,6.5694
4.9455,7.4194
5.7900,8.5702
5.7187,7.7467
5.2016,8.0994
5.7423,7.7810
6.9620,8.0787
6.7694,7.6306
6.3963,7.7222
6.6420,7.7707
6.6056,7.4167
6.5337,6.8421
6.0731,6.6017
5.6578,7.1262
5.4464,8.1454
5.6018,8.5798
6.7681,7.8160
7.0721,7.4415
7.3328,8.0553
5.8280,8.5157
5.9742,8.8068
6.9785,7.9178
7.2886,6.8061
7.6927,6.0186
7.3446,6.0946
6.8738,6.3824
6.9224,6.8383
7.1423,7.5871
7.6972,7.6848
7.1603,7.3886
6.4403,7.8939
5.6852,7.6045
6.0967,8.0580
6.5590,8.1502
7.1331,8.5740
7.2169,8.5556
7.3377,8.5149
7.0919,8.3408
7.6403,7.5790
7.5766,8.4525
8.2742,7.0585
8.2246,7.3066
6.7229,8.7156
6.7456,8.0911
6.2011,8.6400
6.6483,8.5241
7.4666,6.9466
7.4126,7.3695
7.4671,7.2233
8.0752,6.7632
7.9057,7.3147
8.3362,7.3373
7.7479,6.4959
7.2177,7.4541
7.9836,8.0528
7.8983,6.9545
8.1073,7.0464
7.1261,8.0219
7.2467,7.6429
8.6019,8.4232
7.7245,8.0901
7.3596,7.7572
6.8456,8.0146
7.4124,8.4353
7.6491,7.4578
6.9279,6.8936
7.0821,6.5391
8.5761,5.3193
8.5907,6.3087
8.0255,6.9591
8.5364,6.7275
8.2030,7.1270
7.1652,7.9904
7.6547,7.8845
6.3872,7.4031
7.9119,7.8738
7.6392,8.3820
8.3196,8.0066
7.5765,7.4135
7.5661,7.4178
7.7819,6.8406
8.0720,7.1313
7.3820,6.8969
8.5700,6.8153
9.7160,5.7866
9.8021,5.9735
9.9308,5.7170
10.1226,5.9879
9.5584,5.8252
8.9176,6.4133
8.8504,5.9442
8.9605,6.6878
8.2164,6.7208
8.6216,6.6618
7.8636,6.9398
8.3557,7.5872
8.8518,6.8440
9.5451,6.9670
8.8384,6.1645
9.5327,5.5144
8.6955,5.6197
8.3950,6.7806
8.9762,6.1160
9.0115,7.2145
8.4002,6.5912
9.2742,6.4098
9.7836,5.4497
10.5097,4.9650
10.8099,5.8667
10.7351,6.2588
9.4501,6.0043
8.8997,5.8458
9.4656,5.0415
9.3991,5.7668
9.3797,6.4738
8.9648,6.4451
8.9059,5.8517
8.5313,6.2848
9.1094,7.0974
10.0922,6.2835
10.3873,4.6506
10.5303,5.2626
9.9184,5.7243
9.7029,6.1207
10.4829,6.2618
10.8446,5.0345
11.6129,5.5795
11.6092,4.2050
10.1644,4.8530
11.0773,4.4319
9.7156,4.7765
10.2866,5.4457
10.5669,6.6787
9.2809,6.2868
8.5542,5.7189
9.4780,5.7911
9.8948,5.9797
10.0452,6.1799
9.8152,5.9529
9.1003,5.3620
9.7466,5.0631
9.8969,4.5524
11.0480,3.0386
10.5626,4.3027
11.0198,4.9387
9.5086,6.0326
9.4643,5.6178
10.9393,4.7819
9.9030,5.5651
9.6286,5.9618
10.4022,6.1367
10.6636,4.5836
10.8504,4.3367
11.4225,4.4448
10.3420,5.4140
10.9076,4.7199
10.5755,4.8906
10.4750,4.5941
10.2191,4.6424
10.4765,5.7667
10.6068,5.6357
10.5308,5.0109
11.3381,5.1003
10.0647,5.4694
10.5905,4.8280
11.2289,4.6892
10.5731,5.0062
11.8428,4.7022
12.1077,3.8410
11.6660,3.8814
11.9533,3.5967
12.2557,3.7785
11.8252,3.9434
11.0699,4.2812
12.0086,3.9315
11.3916,4.4115
11.0282,4.3284
12.0173,3.8556
11.1153,4.4851
11.1959,4.6377
11.3572,4.5162
12.2517,3.2263
12.0773,3.8810
11.9413,3.8677
11.4574,4.3666
12.0072,3.3807
12.0220,4.2356
10.9602,4.3509
10.7394,4.1786
10.6571,3.8106
12.4042,2.8732
12.1497,3.4745
11.2882,4.6537
11.6650,3.1734
13.1180,2.6456
12.8866,2.8670
13.6352,2.4771
13.2956,3.0840
12.6833,3.2010
13.1029,3.4598
12.6249,2.8334
13.5187,2.2974
13.9154,2.2980
13.8804,2.8238
13.0419,3.5552
12.6741,3.4856
12.5646,2.9812
11.7022,3.7701
12.0869,3.0528
12.8582,3.1054
13.4723,2.2839
12.9970,2.1015
13.1255,2.1593
13.2991,3.4428
13.2925,3.4781
12.7614,3.1887
12.6666,3.2445
13.5663,2.9609
13.4469,2.7698
13.0435,2.9455
13.7508,3.2205
13.9949,2.3194
14.5202,2.9158
13.5370,2.8162
13.1477,3.0740
13.1203,2.9388
12.5702,2.8997
13.5286,2.5611
13.1907,2.2041
12.7173,2.2852
13.4278,2.6635
13.5117,2.0156
13.3591,2.5569
13.1890,2.9546
14.3597,2.4314
14.5841,2.0557
13.0010,2.4124
12.9871,2.3953
14.0541,1.9034
14.6712,1.1256
13.9178,1.6143
14.1472,2.5732
12.9536,3.2158
12.6712,2.9896
14.0391,2.4298
13.6040,2.5910
14.3269,2.4192
14.8158,2.1993
13.9927,3.2320
14.0505,2.3424
13.6017,2.2390
14.2255,2.9346
13.9874,3.6508
13.0689,2.0477
13.5287,2.5161
