id,X,Y,NumberOfNeighbors
0,-0.0661,0.1391,7
1,20.0736,0.1416,10
2,39.6435,0.2974,12
3,59.5685,-0.1515,10
4,80.2058,-0.1267,8
5,-0.4645,20.1796,10
6,19.7151,19.6628,14
7,40.1365,19.5583,17
8,59.7580,20.2061,15
9,80.0690,19.6573,11
10,0.4717,40.4793,12
11,20.0742,39.8951,17
12,39.6350,40.4558,20
13,60.2760,39.5349,18
14,79.7145,39.5717,13
15,0.1461,59.9992,10
16,19.6749,60.1896,14
17,39.7743,59.8150,17
18,60.4523,59.7030,15
19,80.1451,59.5559,11
20,-0.2445,80.3890,7
21,19.9443,80.2173,10
22,39.8830,79.5428,12
23,60.0149,79.6602,11
24,80.1676,79.5677,8
