estimatedX,estimatedY
0.9725,1.1807
0.4826,-0.0893
0.2092,-0.4320
-0.1309,-0.4918
-0.4418,-0.5013
-0.5517,-0.4418
-0.4957,-0.5518
-0.2748,-0.4982
-0.3180,-0.4847
-0.1841,-0.2952
-0.1905,-0.1950
-0.2399,-0.1914
-0.1364,-0.1692
-0.1085,0.0402
-0.0887,0.0680
-0.0868,-0.0255
-0.1163,0.0895
-0.1185,0.1329
-0.1560,0.1592
-0.1097,0.1219
-0.0998,0.1329
-0.0916,0.1474
-0.1226,0.2027
-0.0584,0.1005
0.0377,0.1380
-0.0107,0.0906
-0.0139,0.0578
-0.0307,0.0793
-0.0918,0.0737
-0.0867,0.0678
-0.0837,0.1299
-0.0786,0.2454
-0.0211,0.1351
-0.0750,0.1408
0.0105,0.1510
-0.0541,0.1933
-0.0867,0.1936
-0.0595,0.0965
-0.0373,0.0969
0.1229,0.1483
0.0391,0.2560
-0.1692,0.3485
-0.0338,0.2172
0.2216,0.3367
0.1780,0.0725
0.2091,0.0455
0.3300,-0.0088
0.4757,-0.1783
0.3185,0.0214
0.6444,0.5067
0.5692,0.4905
0.6455,0.2262
0.2541,-0.2191
0.4732,0.0473
0.3918,0.1794
0.2350,0.3676
0.1111,0.1567
-0.0067,0.3068
-0.0251,0.3145
-0.0933,0.1538
0.0130,0.3308
-0.5151,0.5192
-0.6735,0.9492
-0.6265,0.9216
-0.2351,0.6507
-0.0872,0.9252
0.0379,1.3391
0.0149,1.8137
0.4605,1.7589
0.7135,1.5053
1.1256,1.4844
1.4537,1.2832
1.5668,1.1796
2.0042,1.0176
1.6446,0.9676
2.0931,0.5920
2.0111,0.2880
1.9222,0.4603
2.1017,-0.0213
1.4256,0.6192
1.2647,0.5291
1.1172,0.5151
1.2164,0.5619
1.2770,0.6578
1.1161,0.4810
1.0646,0.1731
0.7775,0.0673
0.8064,-0.3810
0.6080,-0.3139
-0.3065,-0.3401
-0.4443,-0.3250
-0.3713,-0.6665
-0.3675,-0.9479
-0.5131,-0.8784
-0.8153,-0.0351
-0.8173,0.6233
0.1865,2.2231
0.3256,2.9254
0.8389,3.2666
0.7374,3.2362
0.8932,3.6635
1.1999,3.6358
1.4261,3.2688
1.3206,2.8339
1.3038,2.9505
0.9393,3.1824
0.5154,3.2103
0.1130,3.7124
0.2993,3.4354
0.0623,3.5812
0.5238,2.9152
-0.1128,3.4321
0.1149,3.5400
0.0426,3.4682
-0.2543,3.3150
-0.5059,3.1590
-0.5470,2.9856
-0.3960,2.6281
-0.4024,2.7208
0.1062,2.7187
0.0022,2.6054
-0.1007,2.4218
-1.3505,1.6290
0.1509,1.8036
-0.4304,2.5054
-1.3860,3.1260
-1.2986,3.3208
-2.2324,2.1218
-1.2239,3.6694
-1.1233,3.5064
-1.1397,3.6488
-0.9254,4.3955
-0.7014,4.3052
-0.2560,4.4020
-0.1129,5.0040
0.3376,4.4774
-0.2259,4.6765
-0.0820,4.6246
-0.5545,4.5061
-0.2220,3.7073
-0.9259,3.9331
-1.3814,4.1428
-2.1981,3.9087
-2.1794,3.7552
-2.2969,3.5176
-1.7791,2.6185
-2.4363,2.3483
-3.0491,2.2226
-2.2415,2.0568
-2.4256,1.1830
-1.2755,1.2321
-0.5253,0.5894
-1.4676,-0.1712
-0.1689,0.4697
-0.1325,0.5713
-0.5388,0.8897
0.0420,1.9059
0.0669,2.2956
0.2463,2.0554
-0.0557,1.9120
0.0091,1.1488
0.2203,0.6346
0.3770,0.1398
0.7323,0.0616
0.8173,-0.1159
1.2300,-0.8471
3.3695,-1.9537
2.0424,-2.4579
2.9168,-2.7160
3.1955,-3.1139
3.1877,-3.1655
3.2977,-3.5366
4.5503,-2.9740
4.2165,-2.7266
3.4170,-3.0421
3.6968,-3.1483
4.0097,-3.0044
4.2474,-2.9313
4.2301,-3.5756
4.4867,-3.6001
4.6274,-3.8471
4.2728,-3.4977
4.2370,-3.0389
3.5206,-3.0651
4.2109,-2.0138
3.6957,-1.7284
3.6424,-1.7608
2.5390,-1.7074
2.0842,-1.8820
1.8019,-2.2426
2.0338,-2.0882
1.5110,-2.2693
1.1332,-1.0304
0.5444,-1.9042
1.2670,-1.6180
2.0557,-1.8118
2.1668,-2.0111
1.5539,-1.8187
1.4037,-1.9236
1.2330,-2.5377
0.8719,-2.5949
0.6631,-1.9198
0.6285,-2.0854
0.0718,-3.3868
0.5384,-4.2763
0.6057,-2.7190
0.9581,-2.1257
1.4927,-1.0340
1.9663,-1.3771
1.5094,-2.6593
1.0076,-2.2189
1.5416,-2.3049
0.8248,-1.8666
0.8292,-2.1361
-0.1279,-1.7717
0.7366,-2.1107
1.8601,-2.1027
1.2737,-3.7803
2.4169,-5.3994
1.9704,-5.7636
2.4862,-6.0974
2.0145,-6.8056
4.2447,-9.0595
3.2909,-8.0534
3.1944,-8.5381
3.3142,-8.5886
3.3577,-8.5891
3.4229,-8.1640
4.5495,-8.5298
4.9178,-8.2375
5.1199,-8.3328
4.9191,-8.2878
5.2705,-7.9649
6.2213,-8.1100
5.1861,-7.5716
5.0987,-7.3583
5.2444,-7.3021
6.1179,-7.0501
4.3646,-7.3377
5.0688,-6.9728
4.9014,-6.7739
5.4797,-6.4752
5.8194,-6.3284
5.4729,-6.0718
4.8211,-6.3559
4.6445,-6.3621
5.1760,-5.7932
5.6935,-5.6613
6.5532,-5.3160
6.4863,-5.1597
6.1251,-5.5090
5.6444,-6.2213
5.8279,-6.0819
6.4181,-5.2949
6.7354,-5.1600
5.8551,-5.4366
6.7133,-4.9077
6.4373,-5.7798
4.9445,-5.2678
4.8150,-4.8349
6.0072,-4.4377
6.0020,-3.4602
4.6756,-4.3894
5.3840,-4.4361
3.8481,-4.0343
3.4685,-4.3012
3.8191,-4.3172
4.7389,-3.3279
6.2137,-3.8559
5.3579,-4.1374
5.6455,-4.4154
5.6997,-3.9725
6.1867,-3.8046
5.5695,-2.8734
5.9420,-2.5111
6.4684,-2.3627
5.6033,-1.4313
5.4676,-1.0849
6.1362,-1.8105
6.2603,-3.0846
6.2735,-3.4812
6.0108,-3.3347
6.4334,-2.8731
6.6498,-1.5597
6.3368,-0.6583
6.7597,3.6503
7.4563,4.4187
6.7873,5.2974
7.9309,3.6353
8.3214,2.6549
8.6584,2.1339
8.6613,1.9604
8.4236,0.1530
7.3354,0.4507
6.5584,-0.1900
4.6342,0.8049
4.1954,0.4980
4.8121,-1.8963
5.6202,-1.4810
5.8293,-2.4035
6.2135,-2.8140
2.9511,-0.1563
4.8892,-2.8380
5.6264,-2.6143
6.9638,-3.2540
7.2106,-3.8684
7.6423,-3.9707
7.8380,-4.5409
8.0437,-4.3621
7.3254,-5.1593
7.1740,-5.8246
5.7823,-7.2168
6.7606,-5.9185
6.8918,-5.1113
6.4979,-4.2358
6.4732,-3.2728
6.5678,-2.3393
6.7805,-1.5022
6.5741,-0.8138
5.8571,-0.4542
7.2034,-0.2392
6.1607,-0.2810
6.5885,-0.8677
6.9508,-2.5028
7.1113,-2.7896
7.4807,-1.8700
6.7664,-1.9831
6.2920,-1.9934
6.1440,-3.0253
6.3864,-2.9653
6.9166,-3.1956
6.7936,-2.7256
2.9716,4.5738
3.6007,2.9514
3.6663,2.0620
7.8839,-3.5440
8.8907,-3.6129
8.3890,-4.1659
8.7185,-4.9119
8.8967,-5.0165
8.7079,-3.9912
8.9803,-3.6746
8.7100,-3.8288
7.9281,-6.2612
9.7836,-1.3925
9.4188,-2.4052
9.4468,-2.3221
9.7904,-1.8987
9.9355,-2.3464
9.8313,-2.2297
9.6926,-2.9255
9.6748,-1.6772
9.5113,-1.1480
9.6036,-0.8913
9.6149,-0.7968
9.0097,-1.7163
9.1617,-1.3055
9.2548,-1.0918
9.1804,-0.6713
8.6964,0.2052
8.0853,-0.5195
8.0874,-0.8285
7.1826,-1.5662
6.1620,-1.2009
5.0349,-2.4508
5.0611,-1.2433
5.2326,-1.5167
5.8108,-3.4236
4.7662,-3.3349
3.9486,-3.7457
3.3037,-4.0024
3.8546,-4.5471
5.1872,-5.0129
5.5539,-5.4013
5.0767,-5.5426
3.5853,-5.0632
3.5593,-5.6702
3.6329,-6.5144
4.6130,-6.6369
4.4787,-6.7302
4.4650,-7.4841
3.6541,-7.0467
3.9473,-6.0261
4.4538,-5.8712
3.6376,-6.0218
8.3805,-6.1918
5.4315,-6.3326
5.5152,-6.0046
5.1147,-5.8349
4.6621,-5.4203
4.8551,-4.7315
5.2287,-3.5989
4.2538,-3.4234
3.9827,-2.7618
2.2637,-2.1899
0.5122,-2.4345
0.3002,-2.6083
-0.3530,-1.7447
-1.3777,-1.8711
-0.1279,-1.9615
-0.5573,-3.3985
-0.8230,-2.4922
-1.5414,-2.5915
-3.2563,-1.1421
-4.4498,-4.3164
-3.2737,-1.5990
-2.0745,-1.1703
-2.2458,-1.0989
-1.7553,-0.0133
-2.6005,0.3697
-4.3483,-0.2660
-4.8068,-0.2157
-4.7164,0.5434
-6.6064,0.5630
-6.3690,0.7575
-7.7663,-0.3924
-6.7292,0.1355
-6.3775,-0.7933
-6.3330,0.0621
-6.3001,-0.2904
-6.0654,-0.5640
-5.1044,0.0882
-4.8642,2.0345
-4.5160,1.9504
-4.0519,3.2580
-3.7533,4.1162
-3.2065,3.8327
-4.4347,2.9083
-2.1683,4.1895
-1.4382,3.8778
-1.5452,4.9394
-1.9954,4.4933
-1.4981,5.1873
-2.7227,4.0916
-2.6931,4.3279
-3.5168,3.2098
-1.3275,4.1152
-0.6762,5.8879
-0.5433,5.8848
0.4908,5.6321
0.1082,5.7021
1.0261,4.7163
0.8742,4.5207
2.0282,5.0167
1.4348,3.6240
1.1674,2.9664
0.5264,2.2589
-0.3602,2.1793
-0.1907,2.6866
-0.1535,3.7010
-0.2952,3.1357
-1.2650,2.4792
-2.1206,0.6507
-4.0471,-0.1186
-4.7955,-0.7621
-3.7315,0.6590
-4.6399,0.0693
-6.0285,-0.0386
-7.3188,0.1403
-8.1260,-1.1087
-7.8176,-0.6330
-7.4811,0.3163
-7.5360,-0.8833
-8.4620,1.6660
-6.1124,-2.9217
-4.3547,-3.2325
-6.0219,-2.7335
-5.2456,-3.3180
-6.0087,-0.6263
-8.2699,-0.0163
-8.9481,-1.1119
-9.5252,-2.9543
-9.2062,-4.8025
-9.5024,-4.7325
-8.9352,-5.1785
-8.1349,-6.4576
-7.6451,-6.8164
-8.3279,-5.1825
-8.9925,-6.2068
-7.8456,-5.8586
-6.7212,-5.3760
-5.9500,-7.0655
-5.0695,-7.1607
-5.3534,-7.3364
-5.4650,-7.6971
-5.0455,-7.5460
-6.0497,-9.2570
-6.4119,-7.5973
-5.6530,-8.7152
-4.2730,-9.7042
-5.2780,-10.9448
-4.2125,-12.4661
-3.0225,-12.8135
-1.6725,-13.1395
-1.3696,-13.2887
-0.6840,-13.5481
-2.1466,-13.1524
-1.6613,-13.3134
-0.9655,-12.8141
0.6020,-11.8041
1.0166,-11.1983
0.9664,-10.9429
-0.4914,-11.3474
-2.0023,-10.5546
0.1119,-9.9368
0.0756,-8.8568
-0.2222,-8.5299
1.0324,-7.5585
1.5056,-7.9332
1.7054,-9.0837
2.7132,-9.1069
4.7013,-7.5870
2.3801,-7.9433
-0.5101,-7.9780
-0.5448,-7.8239
-2.4395,-8.2125
-2.5135,-8.4065
-3.2567,-8.9895
-0.5966,-7.9947
-1.5490,-7.9746
0.6206,-5.2271
-0.2022,-7.0703
-1.1930,-5.2366
-1.4423,-4.5784
0.4265,-3.3010
1.0815,-3.0749
1.3944,-2.3306
2.6110,-1.5295
3.1245,-0.4827
2.5767,-1.2292
1.9348,-1.8959
2.0390,-1.4084
3.1195,-2.8805
3.2281,-2.2323
2.8856,-2.6899
3.9058,-2.1189
3.4796,-3.0760
1.9129,-4.2690
0.1711,-5.5078
-0.7336,-4.2495
-1.9910,-2.5936
-4.1604,-0.1504
-9.9786,-1.3722
-14.2116,-2.5547
-15.1486,-2.3169
-15.6614,-2.0546
-15.8490,-0.6566
-16.1472,0.0639
-15.2596,0.8466
-13.5144,0.7741
-12.2458,1.1339
-11.0970,1.2889
-10.6270,0.8821
-10.3037,3.3665
-13.4494,2.7561
-14.4512,2.3395
-15.0858,2.9671
-15.3351,3.1102
-16.2409,1.7139
-16.1928,1.1027
-16.1382,1.8861
-15.9714,0.0802
-15.5802,1.0340
-15.5206,1.0369
-14.7642,2.2446
-15.1522,2.6177
-15.0994,3.1692
-14.7175,4.7597
-14.9343,4.8492
-15.4950,4.1741
-14.3672,6.7180
-15.6256,2.1001
-15.3531,0.8119
-15.1038,-0.3307
-14.5912,-0.0468
-13.5654,1.1054
-11.8675,5.0562
-12.2760,0.7866
-12.8739,0.0410
-13.0032,-1.6168
-14.1999,-0.5038
-14.1571,-1.2568
-13.6448,-1.6948
-13.4607,-1.3427
-12.4950,-1.7927
-12.3151,-3.0398
-13.6437,-5.0265
-12.2956,-1.9609
-12.1323,-1.6868
-8.8331,-3.8140
-8.3552,-4.6786
-8.8619,-6.0138
-9.0470,-6.7035
-6.5114,-6.8514
-4.2166,-8.5090
-4.3964,-10.4856
-2.8827,-10.9070
-1.9004,-11.0936
-1.5858,-10.7274
