estimatedX,estimatedY
45.4811,5.5404
46.6438,6.7701
46.1291,8.3152
47.9535,8.8301
49.0283,10.0041
49.1782,10.1349
50.5125,9.9618
50.5149,10.2186
50.9801,11.3938
50.2813,13.9270
50.3175,16.0711
53.5330,17.2062
51.1172,17.3457
50.9036,19.6159
49.5865,20.0945
48.5740,20.1807
48.5433,20.3530
48.8308,19.0760
47.3058,17.2901
47.1571,16.9952
49.2487,16.0692
48.7294,13.2082
47.7964,12.8143
47.1382,11.7728
46.5190,9.6665
45.4835,7.7816
45.2149,6.2618
43.9994,4.6077
42.6325,2.3795
40.7833,-0.5435
40.1970,-3.1487
36.9523,-5.2815
34.3978,-7.5582
33.0400,-8.8408
31.9879,-10.4664
29.7004,-13.1310
28.1648,-15.3641
27.6333,-15.1196
25.7793,-16.9061
24.4220,-17.0501
21.2623,-16.9168
19.1214,-16.3153
17.5643,-16.3021
16.1395,-16.2056
12.0051,-14.7959
10.8414,-14.6118
9.7501,-14.0079
7.9678,-13.9500
5.5120,-11.2141
4.0827,-10.1973
2.9864,-8.3522
1.5846,-6.9379
0.3200,-4.2986
-0.0828,-2.0358
0.1814,-0.1381
-0.6830,2.3245
-0.2730,3.9049
-0.3570,6.0950
-1.0378,7.2700
-2.2270,7.4818
-2.2687,5.9255
-0.5218,5.8742
-3.3382,5.5151
-6.2479,5.6835
-7.8131,5.9446
2.1227,7.6978
0.3164,7.0437
0.0217,6.8613
-3.9632,5.9589
-5.1139,5.6182
-5.5099,5.3826
-6.4249,5.0849
-7.5987,4.2092
-8.3309,3.8831
-4.9032,3.4177
-4.4416,3.5483
-4.3118,3.4079
-2.9201,2.6001
-1.9883,2.8504
-1.1302,2.3010
-0.2239,2.9494
0.5829,2.7593
1.5852,2.4455
0.6539,2.4780
1.8237,2.9169
1.8078,3.8913
2.4412,4.0492
2.7081,5.0115
3.1357,4.4966
3.5798,3.7827
6.5624,3.6112
5.4917,3.4039
2.0943,3.0783
2.3717,2.9963
2.4818,2.3628
2.5926,3.6260
2.2271,4.3562
2.4894,3.5832
1.0511,4.9531
1.7289,4.4792
2.1999,4.9074
2.1486,4.6173
2.1010,4.1224
2.2150,4.3053
3.1874,4.2017
2.8386,3.8662
4.6189,3.4948
3.7601,2.7522
3.8989,2.7098
3.8595,3.4675
4.1624,4.1612
4.2150,4.6913
4.1776,6.1775
3.3629,5.0440
1.5768,4.4618
-0.4231,3.4824
0.8035,6.9098
3.9332,4.5735
4.4559,4.8564
4.4143,4.5363
4.0960,4.5444
4.7014,3.8488
4.0473,4.6099
4.3748,3.7331
4.0955,3.6955
4.2473,4.3260
3.5225,5.9385
3.0949,7.8190
2.2012,7.6603
2.7503,5.5042
1.8829,6.9475
1.6955,7.4168
1.6572,7.7237
3.7042,7.9868
4.0119,7.7682
4.2884,7.5091
3.2935,7.1808
3.4693,7.4043
0.1855,6.0797
1.1995,5.1024
0.5710,4.7595
3.6352,4.5956
4.2230,4.4474
5.3268,3.7994
6.8427,3.6787
7.6074,3.6950
7.2447,4.3721
7.7620,4.6775
7.1031,5.1815
7.3069,5.0630
7.2430,4.0594
7.0417,5.0743
6.7441,4.7124
5.0393,6.6650
4.5232,7.1398
4.0794,7.7119
3.7243,7.6529
3.4868,8.0233
2.9256,7.6450
1.4903,6.8848
3.7235,5.5209
3.8584,5.9285
3.4347,5.9991
2.8757,6.0941
2.4480,6.5944
2.5794,6.4441
4.2298,6.0881
4.2967,5.2490
5.3142,5.1640
5.1261,6.9322
4.6760,8.4391
3.0385,7.5659
5.6412,8.6519
5.7087,9.0284
2.5621,9.4917
4.6543,10.2280
5.4695,9.4635
3.6489,10.7970
6.7655,10.3628
3.7344,8.3381
4.2148,7.7410
