estimatedX,estimatedY
5.9870,8.6728
1.7307,8.9352
0.9312,9.9384
0.8329,10.9596
0.8837,12.1744
0.8411,13.0330
0.7787,13.6052
0.7359,13.1972
1.0237,12.9976
0.6810,13.5564
1.1122,12.5489
5.9539,1.4601
8.0840,-4.5615
9.5491,-10.7719
8.8651,-9.9097
9.0725,-11.4323
9.8684,-14.4260
10.1289,-17.3572
10.4149,-17.4819
10.6439,-19.8241
10.6119,-20.3179
11.3897,-17.1805
11.6052,-15.4315
13.6235,-13.1988
15.9652,-9.2598
17.6697,-8.3051
18.2144,-10.3259
19.8048,-16.3920
19.3330,-8.8140
20.2565,-15.0205
21.0916,-13.0832
21.6615,-10.2971
22.0765,-9.4187
23.0054,-9.6830
23.8712,-9.5242
25.6019,-9.4274
27.2918,-13.8972
27.5393,-14.2171
28.6347,-15.8354
30.3991,-19.3307
32.9141,-22.9243
36.3837,-28.5020
36.6894,-27.3907
38.8647,-29.0152
38.4073,-25.8197
42.0100,-29.6091
44.1965,-31.2427
42.2616,-29.7199
43.1196,-30.7617
43.4858,-30.3782
44.2194,-29.6651
47.0656,-32.3573
46.5015,-31.1788
47.7734,-32.0336
54.2341,-37.1479
53.9984,-35.4555
45.2540,-28.8052
43.5223,-25.9107
40.6345,-24.4318
40.8430,-25.6293
35.2167,-22.3040
33.8084,-20.9665
31.9268,-20.3520
36.2798,-20.7949
36.6287,-20.3723
39.7223,-21.7825
43.3652,-24.6614
41.1941,-24.8654
43.0904,-26.3251
40.9752,-24.7033
34.8531,-21.0279
32.0115,-18.4662
31.1297,-19.6505
35.0671,-22.8693
30.7937,-21.1124
31.6869,-21.7886
26.9630,-18.1191
27.0710,-17.3655
25.2298,-17.1723
22.3288,-17.4779
27.3639,-18.1079
30.3358,-21.5488
30.3675,-22.6676
30.4179,-19.9985
30.3469,-22.3100
29.3492,-20.5721
26.0583,-15.7143
25.1327,-17.0325
23.7724,-15.1764
21.7717,-12.7150
21.4999,-12.8045
19.8954,-12.5802
20.3067,-14.7371
21.4382,-13.0430
22.6311,-13.4468
22.2683,-10.9379
20.8067,-8.0808
23.1543,-11.9302
25.8002,-14.7678
23.3674,-12.0765
25.1371,-14.5315
31.9770,-20.4954
31.1239,-20.3320
17.4257,-9.1668
12.7770,-5.3015
10.8098,-2.5662
10.3237,-2.6679
11.2679,-2.6780
9.6289,-0.4904
8.7996,1.5197
7.1759,2.7557
5.9449,2.1344
5.1809,3.3035
0.5526,3.7157
2.9027,6.2545
5.0433,4.6000
8.5579,5.2776
6.3734,10.3141
4.3454,14.8141
17.3620,0.9828
9.8437,11.6669
14.1271,8.8821
22.8217,0.7819
19.2051,8.5122
19.1236,12.2174
13.5169,20.1933
11.5429,21.8596
7.4740,28.3393
3.6253,29.6705
7.3348,25.6748
2.8446,28.6562
2.2932,31.7075
0.8813,32.8372
-5.1396,44.6991
-0.9525,41.4950
7.2762,34.6026
5.6450,34.7401
6.1489,34.3786
5.2580,35.7719
-7.5407,43.6347
-11.1825,45.2473
-11.3530,44.1289
-6.5780,42.5536
-6.7202,42.9057
1.1532,39.9746
-9.6802,46.4922
-7.8116,48.3990
-10.1574,48.4498
-16.7365,49.4141
-10.0200,48.2367
-13.0527,49.6278
-8.9382,46.0985
-4.4333,47.4153
2.1255,46.5000
0.6680,49.3270
-1.0294,49.5837
-7.9055,55.5412
-5.9342,56.5458
-3.7736,55.4113
-5.1524,54.5589
4.5355,55.1718
8.3076,56.2964
8.5951,57.9620
2.9700,64.2372
4.0713,70.3139
8.8314,72.2504
13.4071,74.6278
8.5329,83.4499
23.3702,77.8464
25.5531,77.0200
61.7778,59.5599
62.9430,61.0187
46.6599,73.3960
44.4723,72.4389
50.3936,70.4538
71.4976,56.4834
100.4376,41.6888
98.2435,42.2734
97.7523,41.8149
53.2430,59.1033
53.5220,62.8970
32.1718,76.2689
9.4185,93.6884
10.1725,86.4290
6.7195,90.9017
4.1074,100.6131
-2.4996,105.6055
-9.9846,106.9955
-14.9004,110.1613
-12.5675,112.8376
-13.7809,118.1468
-20.1711,124.1432
-19.1569,120.5593
-25.1183,126.4217
-25.8931,128.5274
-26.1272,133.7071
-24.2736,133.5405
-26.8314,136.0582
-25.1601,132.1485
-26.6813,141.1638
-24.9169,145.2634
-22.1474,143.3664
-22.8269,146.8553
-23.4257,153.0967
-20.4879,146.4921
-19.9575,145.7260
-23.8034,141.6536
4.8614,128.0635
11.8528,121.2018
17.9563,116.7998
23.9393,111.8485
28.3303,113.2593
30.5616,113.0787
31.6368,111.7670
19.4099,115.4468
8.2280,119.1912
3.6626,121.9821
-2.0446,128.4934
-11.3787,130.0447
-8.0207,134.5359
-7.8354,135.4673
-7.4868,137.1631
-12.4700,141.2261
-12.5811,142.6924
-18.1504,147.2830
-14.3552,146.5297
-3.9462,150.4892
-7.6671,151.3112
-3.7800,151.3819
-7.4842,153.2222
6.6290,146.1394
13.5177,143.6122
21.9162,141.5718
16.6297,141.8472
26.0026,139.3734
6.1863,149.1399
3.8399,145.6133
4.6419,148.7103
19.3655,135.1106
24.5321,140.3841
32.6167,139.4392
34.8894,143.8626
46.9670,148.2484
41.2635,139.3956
39.1430,137.4512
49.3969,148.7354
24.0826,156.1835
26.5752,134.4257
15.3847,137.0539
15.4916,145.4866
20.3442,127.8466
22.8098,130.9358
9.7945,148.5668
