id,X,Y,NumberOfNeighbors
0,-0.3493,-0.3045,13
1,29.6653,-0.4140,17
2,59.7763,0.2307,18
3,89.6445,0.3773,17
4,120.3023,0.2428,13
5,-0.4921,30.4137,17
6,29.6137,30.3707,22
7,60.3150,30.3096,23
8,90.2131,30.4229,22
9,120.2851,30.0550,17
10,0.4674,59.9068,18
11,30.0060,60.0327,23
12,60.2549,60.3581,25
13,89.5086,60.2488,23
14,120.4592,60.0862,18
15,0.1210,90.3046,17
16,29.7347,90.2998,22
17,59.5477,89.5011,23
18,89.8009,90.1625,22
19,119.9936,89.7638,17
20,0.0169,120.1408,12
21,29.7699,120.2232,17
22,59.5080,120.1115,18
23,90.2479,119.6667,17
24,119.6928,119.7202,13
