id,X,Y,NumberOfNeighbors
0,0.3336,-0.3875,13
1,30.3502,0.2496,17
2,59.9764,0.4509,18
3,90.2174,0.1237,17
4,119.8869,0.3102,13
5,-0.0439,29.8052,17
6,29.7564,29.8832,22
7,59.7844,29.9756,23
8,89.7721,30.0709,22
9,119.9393,30.1172,17
10,-0.4925,60.0835,18
11,29.9451,60.4578,23
12,60.4375,60.1646,25
13,89.5397,59.7156,23
14,120.3560,59.7641,18
15,-0.1409,89.7047,17
16,29.5067,90.0144,22
17,59.8420,89.5277,23
18,89.5783,89.5357,22
19,120.3453,89.6659,17
20,0.1494,119.5554,12
21,29.5048,119.8273,17
22,60.2595,119.9289,18
23,89.7298,119.9524,17
24,119.6915,120.3143,13
